"행정구역","2021년07월_총인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년07월_남자 인구수","2021년07월_여자 인구수","2021년07월_남여 비율"
"서울특별시  (1100000000)","9,558,153","4,409,964","          2.17","4,645,177","4,912,976","          0.95"
"서울특별시 종로구 (1111000000)","145,692","73,453","          1.98","70,810","74,882","          0.95"
"서울특별시 중구 (1114000000)","122,951","63,001","          1.95","59,945","63,006","          0.95"
"서울특별시 용산구 (1117000000)","225,977","111,635","          2.02","108,709","117,268","          0.93"
"서울특별시 성동구 (1120000000)","288,703","134,493","          2.15","140,811","147,892","          0.95"
"서울특별시 광진구 (1121500000)","342,111","167,057","          2.05","165,039","177,072","          0.93"
"서울특별시 동대문구 (1123000000)","337,946","166,670","          2.03","167,252","170,694","          0.98"
"서울특별시 중랑구 (1126000000)","389,428","185,131","          2.10","192,355","197,073","          0.98"
"서울특별시 성북구 (1129000000)","433,361","194,528","          2.23","209,004","224,357","          0.93"
"서울특별시 강북구 (1130500000)","302,113","144,563","          2.09","147,237","154,876","          0.95"
"서울특별시 도봉구 (1132000000)","319,893","138,490","          2.31","155,869","164,024","          0.95"
"서울특별시 노원구 (1135000000)","515,198","217,310","          2.37","248,250","266,948","          0.93"
"서울특별시 은평구 (1138000000)","475,008","213,889","          2.22","227,339","247,669","          0.92"
"서울특별시 서대문구 (1141000000)","306,839","143,274","          2.14","146,724","160,115","          0.92"
"서울특별시 마포구 (1144000000)","370,185","179,007","          2.07","174,291","195,894","          0.89"
"서울특별시 양천구 (1147000000)","450,431","181,098","          2.49","220,815","229,616","          0.96"
"서울특별시 강서구 (1150000000)","577,058","269,653","          2.14","278,142","298,916","          0.93"
"서울특별시 구로구 (1153000000)","398,744","180,324","          2.21","196,713","202,031","          0.97"
"서울특별시 금천구 (1154500000)","230,665","115,910","          1.99","116,699","113,966","          1.02"
"서울특별시 영등포구 (1156000000)","377,408","185,467","          2.03","186,432","190,976","          0.98"
"서울특별시 동작구 (1159000000)","387,810","184,175","          2.11","187,614","200,196","          0.94"
"서울특별시 관악구 (1162000000)","488,525","274,975","          1.78","245,370","243,155","          1.01"
"서울특별시 서초구 (1165000000)","418,294","171,743","          2.44","200,107","218,187","          0.92"
"서울특별시 강남구 (1168000000)","530,529","232,642","          2.28","253,799","276,730","          0.92"
"서울특별시 송파구 (1171000000)","658,093","280,881","          2.34","317,209","340,884","          0.93"
"서울특별시 강동구 (1174000000)","465,191","200,595","          2.32","228,642","236,549","          0.97"
"부산광역시  (2600000000)","3,361,781","1,535,294","          2.19","1,645,794","1,715,987","          0.96"
