"행정구역","2021년07월_총인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년07월_남자 인구수","2021년07월_여자 인구수","2021년07월_남여 비율"
"전국  (1000000000)","51,671,569","23,294,707","          2.22","25,768,310","25,903,259","          0.99"
"서울특별시  (1100000000)","9,558,153","4,409,964","          2.17","4,645,177","4,912,976","          0.95"
"부산광역시  (2600000000)","3,361,781","1,535,294","          2.19","1,645,794","1,715,987","          0.96"
"대구광역시  (2700000000)","2,395,749","1,060,394","          2.26","1,181,351","1,214,398","          0.97"
"인천광역시  (2800000000)","2,937,440","1,283,524","          2.29","1,470,985","1,466,455","          1.00"
"광주광역시  (2900000000)","1,442,482","639,333","          2.26","713,626","728,856","          0.98"
"대전광역시  (3000000000)","1,455,300","658,831","          2.21","726,281","729,019","          1.00"
"울산광역시  (3100000000)","1,125,727","480,623","          2.34","578,511","547,216","          1.06"
"세종특별자치시  (3600000000)","364,364","149,580","          2.44","181,996","182,368","          1.00"
"경기도  (4100000000)","13,512,867","5,776,653","          2.34","6,801,008","6,711,859","          1.01"
"강원도  (4200000000)","1,536,140","739,290","          2.08","773,232","762,908","          1.01"
"충청북도  (4300000000)","1,597,501","753,893","          2.12","810,258","787,243","          1.03"
"충청남도  (4400000000)","2,118,205","993,794","          2.13","1,082,654","1,035,551","          1.05"
"전라북도  (4500000000)","1,793,902","843,708","          2.13","892,487","901,415","          0.99"
"전라남도  (4600000000)","1,839,698","898,434","          2.05","925,751","913,947","          1.01"
"경상북도  (4700000000)","2,631,649","1,268,267","          2.07","1,326,218","1,305,431","          1.02"
"경상남도  (4800000000)","3,324,735","1,498,081","          2.22","1,674,003","1,650,732","          1.01"
"제주특별자치도  (5000000000)","675,876","305,044","          2.22","338,978","336,898","          1.01"
