"지역별(1)",2017,2017,2017,2017,2017,2017,2017
"지역별(1)",계,내원 3일 이내,내원 3~7일,내원 7~10일,내원 10~30일,내원 31일 이상,미상
"전체",6065,1950,1320,589,1560,646,0
"서울",1110,304,260,115,296,135,0
"부산",343,113,68,31,104,27,0
"대구",309,123,56,31,77,22,0
"인천",317,85,67,37,84,44,0
"광주",139,63,30,15,18,13,0
"대전",174,57,35,17,41,24,0
"울산",89,25,24,7,26,7,0
"세종",25,7,5,3,9,1,0
"경기",1292,381,299,117,349,146,0
"강원",284,89,49,31,82,33,0
"충북",144,51,29,13,35,16,0
"충남",352,100,79,35,84,54,0
"전북",305,114,70,26,71,24,0
"전남",282,101,65,31,64,21,0
"경북",475,169,96,45,119,46,0
"경남",313,138,61,25,69,20,0
"제주",112,30,27,10,32,13,0
