"지역별(1)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"지역별(1)",계,주택,의료기관,사회복지시설,공공시설,도로,상업서비스시설,산업장,농장,병원이송중,기타,미상
"전체",117576,9871,101455,2796,70,311,323,85,68,1013,1534,50
"서울",21153,2373,17279,666,18,42,90,20,3,186,470,6
"부산",7016,359,6526,34,3,4,16,8,0,13,52,1
"대구",6291,294,5875,55,3,7,9,2,1,24,20,1
"인천",6187,582,5027,197,9,15,14,8,1,219,114,1
"광주",2810,119,2637,4,2,9,16,3,1,5,13,1
"대전",3041,240,2664,45,0,10,8,1,1,43,29,0
"울산",1622,83,1511,6,0,1,8,0,0,3,10,0
"세종",385,28,349,5,0,0,0,0,1,1,1,0
"경기",25267,2397,21000,956,17,90,66,24,8,212,479,18
"강원",5212,527,4389,176,2,17,12,3,4,17,63,2
"충북",3618,349,3056,138,5,11,14,3,3,14,25,0
"충남",6234,610,5307,137,2,25,15,1,13,65,56,3
"전북",6128,392,5473,96,3,19,6,3,4,98,33,1
"전남",5187,343,4687,69,2,16,6,3,5,16,35,5
"경북",7997,506,7210,112,1,24,20,0,12,59,46,7
"경남",7105,381,6570,40,1,6,16,5,6,28,49,3
"제주",2323,288,1895,60,2,15,7,1,5,10,39,1
