"시도별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도별(1)",계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시도별(1)",소계,소계,소계,소계,상급,상급,일반,일반,외국인,외국인,소계,소계,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시도별(1)",병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개)
"계",177674,703468,164456,625344,42271,57657,122156,567487,29,200,10360,64094,955,10463,803,8626,152,1837,1662,3192,241,375
"서울",25170,88059,23800,81044,6923,8639,16850,72209,27,196,607,3485,242,2530,197,1967,45,563,402,807,119,193
"부산",17621,69862,16404,62952,4476,6723,11928,56229,-,-,956,5689,90,856,75,699,15,157,153,339,18,26
"대구",8946,38132,8238,33901,2020,2585,6218,31316,-,-,582,3544,51,542,31,392,20,150,60,129,15,16
"인천",8028,34176,7364,30054,1392,1802,5972,28252,-,-,489,3277,47,590,41,514,6,76,116,242,12,13
"광주",11018,40206,10638,38101,2428,3486,8210,34615,-,-,300,1616,27,428,24,348,3,80,50,58,3,3
"대전",6018,23417,5692,21302,1749,2439,3943,18863,-,-,246,1663,25,381,21,289,4,92,50,66,5,5
"울산",4004,15284,3741,13852,1358,1912,2383,11940,-,-,221,1237,14,159,13,133,1,26,23,29,5,7
"세종",440,1440,414,1330,165,256,248,1073,1,1,25,108,-,-,-,-,-,-,1,2,-,-
"경기",32901,133118,30318,117616,7752,10351,22566,107265,-,-,2139,13110,184,1953,155,1626,29,327,226,377,34,62
"강원",4447,17372,4018,14803,1029,1340,2989,13463,-,-,303,1947,52,449,46,391,6,58,71,169,3,4
"충북",5293,21336,4659,17765,1223,1570,3436,16195,-,-,570,3172,18,294,16,264,2,30,45,101,1,4
"충남",6620,28122,6027,24350,1394,1883,4633,22467,-,-,536,3361,22,352,20,297,2,55,35,59,-,-
"전북",9984,39993,9450,36879,2207,3230,7243,33649,-,-,378,2416,35,374,32,317,3,57,114,310,7,14
"전남",10811,41844,10105,37547,2453,3590,7652,33957,-,-,593,3767,36,391,33,370,3,21,69,127,8,12
"경북",10097,43726,9008,36488,1811,2585,7197,33903,-,-,939,6598,47,477,45,461,2,16,103,163,-,-
"경남",14954,62527,13388,53073,3512,4862,9875,48208,1,3,1402,8736,47,537,40,431,7,106,110,171,7,10
"제주",1322,4854,1192,4287,379,404,813,3883,-,-,74,368,18,150,14,127,4,23,34,43,4,6
