"지역별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"지역별(1)","성별(1)",급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명)
"지역별(1)","성별(1)",계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력
"전체","계",26208,7059,3141,4047,16,56,9900,1731,234,24,91924,31563,7908,11954,56,152,33737,5228,1200,126,38382,17892,4267,6914,70,164,7692,1066,293,24,104505,46007,8089,14247,176,289,29928,4701,998,70
"전체","남",17965,4944,1966,2603,16,42,6988,1251,137,18,50263,17277,4106,6227,50,83,18691,3140,616,73,25866,12096,2915,4797,52,130,4970,711,182,13,66857,29385,5240,9276,139,228,18890,3106,549,44
"전체","여",8243,2115,1175,1444,0,14,2912,480,97,6,41661,14286,3802,5727,6,69,15046,2088,584,53,12516,5796,1352,2117,18,34,2722,355,111,11,37648,16622,2849,4971,37,61,11038,1595,449,26
"서울","계",5490,1896,238,707,5,8,2255,309,67,5,23486,8500,852,3196,12,15,9347,1173,376,15,7125,3611,290,1288,15,7,1657,170,85,2,21938,10022,755,3340,46,18,6775,715,264,3
"서울","남",3878,1335,147,475,5,8,1628,235,42,3,13115,4725,470,1729,10,8,5172,781,212,8,4734,2408,191,901,12,5,1043,118,55,1,13285,6104,454,2069,36,11,4023,452,134,2
"서울","여",1612,561,91,232,0,0,627,74,25,2,10371,3775,382,1467,2,7,4175,392,164,7,2391,1203,99,387,3,2,614,52,30,1,8653,3918,301,1271,10,7,2752,263,130,1
"부산","계",1556,377,116,378,2,1,614,55,13,0,4490,1443,290,1077,6,3,1512,119,37,3,2251,1037,168,605,6,3,402,17,13,0,5108,2166,360,1194,13,4,1303,46,22,0
"부산","남",1068,263,67,247,2,1,448,34,6,0,2526,799,149,572,6,3,902,76,16,3,1567,718,113,433,5,2,277,10,9,0,3439,1473,229,828,9,4,863,23,10,0
"부산","여",488,114,49,131,0,0,166,21,7,0,1964,644,141,505,0,0,610,43,21,0,684,319,55,172,1,1,125,7,4,0,1669,693,131,366,4,0,440,23,12,0
