"지역별(1)",2019,2019,2019,2019,2019,2019,2019
"지역별(1)",계,1시간 미만,1~2시간 미만,2~3시간 미만,3~6시간 미만,6시간 이상,미상/미입력
"전체",37988,7861,5884,3526,5131,15411,175
"서울",7330,1685,933,561,858,3281,12
"부산",2377,404,408,240,285,1036,4
"대구",2622,481,348,249,357,1177,10
"인천",2083,448,448,184,247,753,3
"광주",2139,192,292,200,333,1118,4
"대전",1371,334,199,99,219,520,-
"울산",513,122,94,51,65,181,-
"경기",8263,2010,1355,731,1098,3055,14
"강원",1884,307,285,229,343,718,2
"충북",893,222,161,69,116,323,2
"충남",1378,294,194,128,204,558,-
"전북",1730,262,266,165,227,693,117
"전남",928,148,168,118,159,334,1
"경북",1603,402,253,179,214,554,1
"경남",2293,409,374,250,318,938,4
"제주",581,141,106,73,88,172,1
