"지역별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"지역별(1)",계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력
"전체",120584,48743,4373,16906,88,372,49184,732,182,4
"서울",24653,9720,355,3493,11,14,10725,263,70,2
"부산",6610,2718,103,1399,10,3,2298,61,18,-
"대구",8217,2812,533,1217,1,3,3526,120,4,1
"인천",6742,2874,162,1063,4,45,2585,3,5,1
"광주",5499,1539,1333,847,5,6,1676,84,9,-
"대전",4788,2056,266,389,3,-,2066,5,3,-
"울산",1642,617,17,350,1,-,642,14,1,-
"경기",28130,12174,364,3332,22,14,12101,98,25,-
"강원",5115,2067,196,677,8,40,2124,1,2,-
"충북",3679,1679,128,354,2,2,1499,10,5,-
"충남",3926,1811,40,531,1,49,1487,5,2,-
"전북",6230,2365,268,872,4,60,2617,31,13,-
"전남",3104,1226,134,444,2,47,1246,2,3,-
"경북",4316,1897,103,624,9,81,1597,3,2,-
"경남",5853,2189,157,1299,5,1,2175,16,11,-
"제주",2080,999,214,15,-,7,820,16,9,-
