"지역별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"지역별(1)",계,30분 미만,30분~2시간,2~4시간,4~6시간,6~8시간,8~12시간,12~24시간,24시간 이상,미상/미입력
"전체",5937569,497714,1559684,685670,376360,258292,344925,599208,1578935,36781
"서울",1383982,109223,325873,143540,82238,56643,75910,136715,452144,1696
"부산",235707,12141,67204,31963,14378,10537,11728,19792,65996,1968
"대구",246780,18685,57859,27780,16275,11131,14817,29124,70115,994
"인천",390872,27388,126537,42635,24453,16777,23239,38979,90457,407
"광주",182436,12869,39548,21929,12295,8735,12026,18918,54860,1256
"대전",203632,20444,50942,22994,12705,8566,11603,21040,55335,3
"울산",82288,6892,21319,9469,5153,3386,4579,11894,19596,-
"경기",1488891,127083,400586,179741,96506,66346,88836,158056,369045,2692
"강원",211083,16381,55977,26182,13664,9158,11881,20135,55691,2014
"충북",156992,19225,45855,17134,9473,6453,8410,13696,36235,511
"충남",273457,28808,80071,31780,17685,11804,16488,26690,59883,248
"전북",271530,21234,66264,30283,16387,11278,15246,23821,63790,23227
"전남",115038,10129,32494,15796,8386,5354,6701,10123,25865,190
"경북",257419,30326,75771,30496,16697,11679,15425,25382,51354,289
"경남",273035,21279,64506,34374,18897,12912,17085,29117,73871,994
"제주",164427,15607,48878,19574,11168,7533,10951,15726,34698,292
