"지역별(1)",2019,2019,2019,2019,2019,2019,2019
"지역별(1)",계,1시간 미만,1~2시간 미만,2~3시간 미만,3~6시간 미만,6시간 이상,미상/미입력
"전체",230697,90212,38324,15353,22501,63235,1072
"서울",38034,14350,4446,2029,3755,13414,40
"부산",8436,2657,1684,763,915,2389,28
"대구",7524,2383,1029,586,907,2602,17
"인천",14854,5023,4085,782,1257,3701,6
"광주",8467,2619,1307,804,1324,2399,14
"대전",8706,3268,1320,595,942,2581,-
"울산",2948,1275,421,206,298,748,-
"경기",56008,22963,8989,3539,5317,15147,53
"강원",9749,3219,2023,900,1121,2447,39
"충북",8480,4146,1261,435,704,1913,21
"충남",14020,6314,2122,933,1330,3307,14
"전북",15344,5700,2681,1057,1373,3747,786
"전남",6438,2590,1288,481,562,1501,16
"경북",14894,6912,2538,1047,1178,3218,1
"경남",9168,3682,1570,660,901,2329,26
"제주",7627,3111,1560,536,617,1792,11
