,지역별(1),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,서울,648,584,627,628,606,600,603,548,592,620,597,677
2,부산,199,190,209,191,193,175,220,178,204,210,181,227
3,대구,239,189,253,202,226,197,181,215,217,223,225,255
4,인천,197,176,178,167,177,162,167,172,163,158,182,184
5,광주,183,137,160,171,149,186,186,173,170,241,177,206
6,대전,113,110,129,118,110,116,116,120,109,110,102,118
7,울산,38,39,44,39,49,42,49,42,46,34,51,40
8,경기,710,645,719,655,725,664,678,629,659,750,722,707
9,강원,151,152,171,162,169,133,149,164,136,158,154,185
10,충북,82,65,77,68,82,85,76,71,64,66,73,84
11,충남,130,97,122,119,117,109,110,115,110,120,104,125
12,전북,147,125,132,160,148,122,131,160,149,159,152,145
13,전남,53,72,87,79,79,73,79,69,79,91,89,78
14,경북,140,121,138,122,140,129,125,126,136,154,121,151
15,경남,173,184,165,216,193,178,170,202,206,196,196,214
16,제주,45,61,53,42,49,49,53,49,52,34,35,59
