요양기관명,종별코드명,시도코드명,주소,x좌표,y좌표
가톨릭대학교인천성모병원,상급종합,인천,인천광역시 부평구 동수로 56 (부평동),126.7248987,37.4848309
강릉아산병원,상급종합,강원,강원도 강릉시 사천면 방동길 38 (),128.8578411,37.8184325
강북삼성병원,상급종합,서울,서울특별시 종로구 새문안로 29 (평동),126.96775,37.5684083
건국대학교병원,상급종합,서울,서울특별시 광진구 능동로 120-1 (화양동),127.0718276,37.5403764
경북대학교병원,상급종합,대구,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",128.604125,35.866774
경상국립대학교병원,상급종합,경남,경상남도 진주시 강남로 79 (칠암동),128.0956717,35.1763252
경희대학교병원,상급종합,서울,서울특별시 동대문구 경희대로 23 (회기동),127.051852,37.5941195
계명대학교동산병원,상급종합,대구,대구광역시 달서구 달구벌대로 1035 (신당동),128.4801315,35.8538856
고려대학교의과대학부속구로병원,상급종합,서울,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),126.8848701,37.492052
고려대학교의과대학부속안산병원,상급종합,경기,경기도 안산시 단원구 적금로 123 (고잔동),126.8249033,37.3185144
단국대학교의과대학부속병원,상급종합,충남,충청남도 천안시 동남구 망향로 201  (안서동),127.172575,36.8415904
대구가톨릭대학교병원,상급종합,대구,대구광역시 남구 두류공원로17길 33 (대명동),128.5679969,35.8436078
동아대학교병원,상급종합,부산,부산광역시 서구 대신공원로 26 (동대신동3가),129.017425,35.12019
부산대학교병원,상급종합,부산,부산광역시 서구 구덕로 179 (아미동1가),129.0188032,35.1008477
분당서울대학교병원,상급종합,경기,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",127.1232509,37.3519807
삼성서울병원,상급종합,서울,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",127.0851508,37.4882978
서울대학교병원,상급종합,서울,서울특별시 종로구 대학로 101 (연건동),126.9990168,37.5797151
순천향대학교부속 천안병원,상급종합,충남,"충청남도 천안시 동남구 순천향6길 31  5동 (봉명동,순천향대학교병원)",127.1358588,36.8027381
순천향대학교부속부천병원,상급종합,경기,경기도 부천시 조마루로 170 (중동),126.7629514,37.4986043
아주대학교병원,상급종합,경기,경기도 수원시 영통구 월드컵로 164 (원천동),127.0476764,37.2793927
양산부산대학교병원,상급종합,경남,경상남도 양산시 물금읍 금오로 20 (),129.0057274,35.3281501
