,지역별(1),주택,의료기관,사회복지시설,공공시설,도로,상업서비스시설,산업장,농장,병원이송중,기타
1,서울,76,909,34,0,2,0,0,0,6,29
2,부산,9,304,2,0,0,0,0,0,0,9
3,대구,10,243,5,0,0,0,0,0,0,1
4,인천,28,254,7,0,1,0,3,1,19,5
5,광주,2,150,0,0,1,1,1,0,0,0
6,대전,10,150,0,0,1,1,1,0,0,2
7,울산,5,75,0,0,0,0,0,0,0,2
8,세종,1,18,0,0,0,0,0,0,0,0
9,경기,83,1118,39,2,14,0,4,0,1,28
10,강원,9,222,2,1,3,0,0,0,0,3
11,충북,9,184,3,1,3,1,0,0,0,1
12,충남,25,331,9,0,2,0,1,0,2,2
13,전북,16,288,10,2,0,0,0,0,3,1
14,전남,16,287,5,0,2,0,0,0,1,1
15,경북,12,388,4,0,3,0,0,1,1,4
16,경남,14,321,1,0,0,1,0,0,1,2
17,제주,5,96,0,0,2,0,0,0,0,2
