,지역별(1),119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타
1,서울,17807,405,4879,22,15,14642,203,59
2,부산,4224,103,1803,6,8,2270,11,11
3,대구,3308,1009,1093,6,5,2059,39,4
4,인천,7422,197,1436,13,74,5696,8,7
5,광주,2646,1545,935,7,15,3264,49,6
6,대전,4423,395,900,5,7,2969,4,3
7,울산,1346,17,660,2,4,907,12,-
8,경기,26347,560,5584,40,232,23114,102,29
9,강원,4611,256,1387,13,118,3357,4,3
10,충북,4711,181,593,8,12,2945,21,9
11,충남,6773,66,1297,9,136,5725,5,8
12,전북,7220,358,1492,9,105,6119,27,10
13,전남,2955,217,580,5,72,2600,4,5
14,경북,7141,137,1158,14,110,6329,3,2
15,경남,3966,158,1287,14,4,3730,3,6
16,제주,3589,295,54,5,18,3647,12,7
