,지역별(1),주택,의료기관,사회복지시설,공공시설,도로,상업서비스시설,산업장,농장,병원이송중,기타
1,서울,66,1743,30,1,0,1,0,2,0,3
2,부산,5,579,2,0,0,0,0,0,0,0
3,대구,7,536,5,0,0,0,0,0,0,1
4,인천,13,508,13,1,0,1,0,0,4,1
5,광주,3,245,0,0,0,0,0,0,0,0
6,대전,11,269,2,0,0,0,0,0,0,1
7,울산,2,119,2,0,0,0,0,0,1,0
8,세종,1,37,0,0,0,0,0,0,0,0
9,경기,79,2160,51,0,2,1,1,0,9,7
10,강원,14,435,6,0,0,0,0,1,0,1
11,충북,5,262,8,0,0,0,1,0,1,0
12,충남,25,596,11,0,0,0,0,0,0,1
13,전북,13,614,9,0,0,0,0,0,0,1
14,전남,13,508,4,0,0,0,0,0,0,2
15,경북,18,730,8,0,0,0,0,1,1,1
16,경남,18,601,2,0,0,0,0,1,0,1
17,제주,6,153,0,0,0,0,0,0,0,1
