,지역별(1),119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타
1,서울,9720,355,3493,11,14,10725,263,70
2,부산,2718,103,1399,10,3,2298,61,18
3,대구,2812,533,1217,1,3,3526,120,4
4,인천,2874,162,1063,4,45,2585,3,5
5,광주,1539,1333,847,5,6,1676,84,9
6,대전,2056,266,389,3,-,2066,5,3
7,울산,617,17,350,1,-,642,14,1
8,경기,12174,364,3332,22,14,12101,98,25
9,강원,2067,196,677,8,40,2124,1,2
10,충북,1679,128,354,2,2,1499,10,5
11,충남,1811,40,531,1,49,1487,5,2
12,전북,2365,268,872,4,60,2617,31,13
13,전남,1226,134,444,2,47,1246,2,3
14,경북,1897,103,624,9,81,1597,3,2
15,경남,2189,157,1299,5,1,2175,16,11
16,제주,999,214,15,-,7,820,16,9
